Num_Module,Nom_Module
1,TEC
2,Structures de Donnees
3,Logique pour Informatique
4,Architecture des Ordinateurs
5,Droit
6,Algorithmique
7,Base de Donnees
8,OS & Nets
9,Atelier de Programmation
10,Analyse et Conception en UML
11,Compilation
12,Technologie Web et XML
13,Statistique Descriptive et Optimisation
14,Atelier BD et Programmation Web
15,Economie
16,Anglais
17,Programmation Oriente Objet
18,UML avance et ingenierie des processus
19,Programmation Systeme
20,Prog Objet avancee et design patterns
21,Programmation Java
22,PLSQL et administration Oracle
23,Gestion
24,Marketing
25,Atelier Technologie Objet/Iot
26,Arch distribuee et Cloud Computing
27,A et Machine Learning
28,Business Intelligence et Arch Big Data
29,JEE
30,Gestion Projet / Qualite Logiciel
31,Business Plan Projet Logiciel
32,DevOp
33,Bases de donnees avancees
34,Tech .NET/ frameworks Javascript
35,Gouvernance SI/ Securite SI
36,Dev mobile mplats/Onto et web sem
37,Ing dirige Modele/ Ing dirige Agent
38,Atelier GL
39,Anglais Technique
40,Entreprenariat et Innovation
41,PFE
42,PPI
